human	chicken
ENSG00000128050	ENSGALG00000013726
ENSG00000115839	ENSGALG00000012214
ENSG00000207572	ENSGALG00000028707
ENSG00000139055	ENSGALG00000011739
ENSG00000164163	ENSGALG00000009961
ENSG00000107959	ENSGALG00000007036
ENSG00000133103	ENSGALG00000017035
ENSG00000149346	ENSGALG00000009016
ENSG00000144868	ENSGALG00000011709
ENSG00000094841	ENSGALG00000007793
ENSG00000145414	ENSGALG00000009496
ENSG00000146281	ENSGALG00000015779
ENSG00000212452	ENSGALG00000025603
ENSG00000100028	ENSGALG00000006596
ENSG00000117593	ENSGALG00000023749
ENSG00000023228	ENSGALG00000008606
ENSG00000198839	ENSGALG00000009454
ENSG00000205659	ENSGALG00000020419
ENSG00000099994	ENSGALG00000005824
ENSG00000111581	ENSGALG00000009934
ENSG00000136114	ENSGALG00000017027
ENSG00000100744	ENSGALG00000011088
ENSG00000122711	ENSGALG00000021842
ENSG00000143553	ENSGALG00000026796
ENSG00000107938	ENSGALG00000013685
ENSG00000206535	ENSGALG00000015287
ENSG00000071082	ENSGALG00000016775
ENSG00000151835	ENSGALG00000017120
ENSG00000060762	ENSGALG00000011483
ENSG00000175806	ENSGALG00000028032
ENSG00000132792	ENSGALG00000006817
ENSG00000106638	ENSGALG00000027746
ENSG00000198523	ENSGALG00000027583
ENSG00000166946	ENSGALG00000004837
ENSG00000187583	ENSGALG00000002121
ENSG00000109084	ENSGALG00000005702
ENSG00000176907	ENSGALG00000024083
ENSG00000142534	ENSGALG00000017299
ENSG00000101003	ENSGALG00000008538
ENSG00000104808	ENSGALG00000026224
ENSG00000238363	ENSGALG00000025694
ENSG00000118434	ENSGALG00000019917
ENSG00000181751	ENSGALG00000027512
ENSG00000167861	ENSGALG00000007808
ENSG00000207939	ENSGALG00000018323
ENSG00000106477	ENSGALG00000008103
ENSG00000164053	ENSGALG00000004670
ENSG00000005812	ENSGALG00000006327
ENSG00000111269	ENSGALG00000028812
ENSG00000140025	ENSGALG00000020402
ENSG00000062650	ENSGALG00000001907
ENSG00000134146	ENSGALG00000020438
ENSG00000171033	ENSGALG00000015732
ENSG00000087206	ENSGALG00000001158
ENSG00000197629	ENSGALG00000028536
ENSG00000128915	ENSGALG00000003763
ENSG00000147419	ENSGALG00000016586
ENSG00000165555	ENSGALG00000010458
ENSG00000103353	ENSGALG00000006117
ENSG00000115919	ENSGALG00000012418
ENSG00000165312	ENSGALG00000026426
ENSG00000004139	ENSGALG00000003595
ENSG00000145979	ENSGALG00000012731
ENSG00000175894	ENSGALG00000005655
ENSG00000143476	ENSGALG00000009837
ENSG00000198270	ENSGALG00000004760
ENSG00000059588	ENSGALG00000011000
ENSG00000111405	ENSGALG00000006353
ENSG00000144580	ENSGALG00000011402
ENSG00000163960	ENSGALG00000006385
ENSG00000163607	ENSGALG00000015190
ENSG00000156172	ENSGALG00000015989
ENSG00000152147	ENSGALG00000013821
ENSG00000173915	ENSGALG00000027904
ENSG00000143158	ENSGALG00000015437
ENSG00000100142	ENSGALG00000012291
ENSG00000140990	ENSGALG00000005465
ENSG00000130023	ENSGALG00000011186
ENSG00000100206	ENSGALG00000012236
ENSG00000163319	ENSGALG00000023191
ENSG00000114021	ENSGALG00000015275
ENSG00000165699	ENSGALG00000003500
ENSG00000076641	ENSGALG00000015758
ENSG00000211584	ENSGALG00000018778
ENSG00000072080	ENSGALG00000004129
ENSG00000170430	ENSGALG00000010454
ENSG00000164463	ENSGALG00000002878
ENSG00000243710	ENSGALG00000009902
ENSG00000256872	ENSGALG00000012410
ENSG00000172315	ENSGALG00000004469
ENSG00000184076	ENSGALG00000008066
ENSG00000071539	ENSGALG00000012508
ENSG00000101474	ENSGALG00000008651
ENSG00000219545	ENSGALG00000023189
ENSG00000011523	ENSGALG00000008787
ENSG00000186795	ENSGALG00000009265
ENSG00000053501	ENSGALG00000003703
ENSG00000138246	ENSGALG00000011678
ENSG00000101052	ENSGALG00000003523
ENSG00000197548	ENSGALG00000004932
ENSG00000106952	ENSGALG00000007121
ENSG00000138614	ENSGALG00000007491
ENSG00000125246	ENSGALG00000016875
ENSG00000141428	ENSGALG00000013131
ENSG00000183155	ENSGALG00000000436
ENSG00000141556	ENSGALG00000001503
ENSG00000168393	ENSGALG00000006305
ENSG00000162961	ENSGALG00000010621
ENSG00000167476	ENSGALG00000000819
ENSG00000239043	ENSGALG00000025674
ENSG00000114742	ENSGALG00000006052
ENSG00000132646	ENSGALG00000000169
ENSG00000104324	ENSGALG00000022789
ENSG00000148154	ENSGALG00000015682
ENSG00000130988	ENSGALG00000016724
ENSG00000114026	ENSGALG00000006651
ENSG00000180644	ENSGALG00000021211
ENSG00000138867	ENSGALG00000006607
ENSG00000145241	ENSGALG00000011683
ENSG00000114982	ENSGALG00000014540
ENSG00000133027	ENSGALG00000004875
ENSG00000150455	ENSGALG00000001077
ENSG00000149273	ENSGALG00000017330
ENSG00000077514	ENSGALG00000017307
ENSG00000136628	ENSGALG00000009598
ENSG00000158023	ENSGALG00000004365
ENSG00000130816	ENSGALG00000028997
ENSG00000226742	ENSGALG00000024483
ENSG00000143971	ENSGALG00000027922
ENSG00000137868	ENSGALG00000001449
ENSG00000146166	ENSGALG00000016273
ENSG00000124782	ENSGALG00000012799
ENSG00000164199	ENSGALG00000014657
ENSG00000154096	ENSGALG00000006751
ENSG00000174446	ENSGALG00000007695
ENSG00000147955	ENSGALG00000028996
ENSG00000154059	ENSGALG00000015093
ENSG00000122483	ENSGALG00000005889
ENSG00000183644	ENSGALG00000024430
ENSG00000151287	ENSGALG00000016863
ENSG00000171951	ENSGALG00000005176
ENSG00000163634	ENSGALG00000007299
ENSG00000068308	ENSGALG00000027557
ENSG00000083635	ENSGALG00000016972
ENSG00000188729	ENSGALG00000007226
ENSG00000164338	ENSGALG00000013510
ENSG00000146842	ENSGALG00000008036
ENSG00000159658	ENSGALG00000010446
ENSG00000118960	ENSGALG00000016486
ENSG00000135040	ENSGALG00000012598
ENSG00000100726	ENSGALG00000009297
ENSG00000119650	ENSGALG00000020415
ENSG00000140988	ENSGALG00000005490
ENSG00000166902	ENSGALG00000005182
ENSG00000090863	ENSGALG00000002745
ENSG00000100324	ENSGALG00000012150
ENSG00000162639	ENSGALG00000001959
ENSG00000163939	ENSGALG00000001590
ENSG00000050130	ENSGALG00000012009
ENSG00000183395	ENSGALG00000012757
ENSG00000126581	ENSGALG00000002973
ENSG00000169085	ENSGALG00000014100
ENSG00000155868	ENSGALG00000003870
ENSG00000165185	ENSGALG00000023083
ENSG00000196581	ENSGALG00000027265
ENSG00000091732	ENSGALG00000008003
ENSG00000120937	ENSGALG00000004574
ENSG00000066697	ENSGALG00000013403
ENSG00000163918	ENSGALG00000008703
ENSG00000154978	ENSGALG00000012354
ENSG00000206530	ENSGALG00000019232
ENSG00000112425	ENSGALG00000012275
ENSG00000099834	ENSGALG00000005059
ENSG00000168014	ENSGALG00000017314
ENSG00000203667	ENSGALG00000027440
ENSG00000100294	ENSGALG00000014165
ENSG00000173641	ENSGALG00000023772
ENSG00000104081	ENSGALG00000014537
ENSG00000105726	ENSGALG00000013439
ENSG00000131634	ENSGALG00000029047
ENSG00000118873	ENSGALG00000009503
ENSG00000187824	ENSGALG00000028751
ENSG00000222018	ENSGALG00000016011
ENSG00000186468	ENSGALG00000015617
ENSG00000116761	ENSGALG00000011331
ENSG00000150593	ENSGALG00000008700
ENSG00000153207	ENSGALG00000010630
ENSG00000188981	ENSGALG00000015628
ENSG00000163071	ENSGALG00000013964
ENSG00000151779	ENSGALG00000016460
ENSG00000155229	ENSGALG00000007572
ENSG00000152128	ENSGALG00000012190
ENSG00000198920	ENSGALG00000006011
ENSG00000110429	ENSGALG00000006619
ENSG00000171467	ENSGALG00000010426
ENSG00000173163	ENSGALG00000008931
ENSG00000107281	ENSGALG00000009039
ENSG00000137207	ENSGALG00000010355
ENSG00000208035	ENSGALG00000028070
ENSG00000099812	ENSGALG00000001898
ENSG00000176225	ENSGALG00000013745
ENSG00000116586	ENSGALG00000018760
ENSG00000128585	ENSGALG00000006356
ENSG00000103150	ENSGALG00000005494
ENSG00000188725	ENSGALG00000023443
ENSG00000135972	ENSGALG00000016794
ENSG00000183067	ENSGALG00000016132
ENSG00000137100	ENSGALG00000021365
ENSG00000126226	ENSGALG00000016831
ENSG00000148735	ENSGALG00000020679
ENSG00000103356	ENSGALG00000006122
ENSG00000138617	ENSGALG00000007365
ENSG00000143196	ENSGALG00000019229
ENSG00000135069	ENSGALG00000015180
ENSG00000071127	ENSGALG00000014957
ENSG00000169914	ENSGALG00000014175
ENSG00000080986	ENSGALG00000014801
ENSG00000006625	ENSGALG00000011530
ENSG00000099624	ENSGALG00000026108
ENSG00000188690	ENSGALG00000013688
ENSG00000127588	ENSGALG00000005293
ENSG00000184281	ENSGALG00000006530
ENSG00000205081	ENSGALG00000019164
ENSG00000240505	ENSGALG00000024122
ENSG00000189367	ENSGALG00000014827
ENSG00000103642	ENSGALG00000003505
ENSG00000141030	ENSGALG00000004834
ENSG00000169230	ENSGALG00000002990
ENSG00000138326	ENSGALG00000004871
ENSG00000188761	ENSGALG00000021655
ENSG00000148331	ENSGALG00000004378
ENSG00000103995	ENSGALG00000005642
ENSG00000028203	ENSGALG00000011357
ENSG00000113851	ENSGALG00000008274
ENSG00000011376	ENSGALG00000011877
ENSG00000083093	ENSGALG00000006078
ENSG00000095970	ENSGALG00000023781
ENSG00000141577	ENSGALG00000006895
ENSG00000075131	ENSGALG00000007649
ENSG00000175224	ENSGALG00000008347
ENSG00000099917	ENSGALG00000006430
ENSG00000188643	ENSGALG00000028924
ENSG00000086200	ENSGALG00000014740
ENSG00000113141	ENSGALG00000000833
ENSG00000116898	ENSGALG00000027648
ENSG00000145425	ENSGALG00000010077
ENSG00000171863	ENSGALG00000016392
ENSG00000134987	ENSGALG00000000247
ENSG00000141564	ENSGALG00000006938
ENSG00000035115	ENSGALG00000016362
ENSG00000173988	ENSGALG00000027689
ENSG00000133195	ENSGALG00000004413
ENSG00000118855	ENSGALG00000009593
ENSG00000116747	ENSGALG00000002504
ENSG00000134825	ENSGALG00000003630
ENSG00000066422	ENSGALG00000015334
ENSG00000133641	ENSGALG00000011168
ENSG00000175018	ENSGALG00000027867
ENSG00000199127	ENSGALG00000021732
ENSG00000069998	ENSGALG00000013026
ENSG00000182362	ENSGALG00000027664
ENSG00000122140	ENSGALG00000026303
ENSG00000116213	ENSGALG00000001017
ENSG00000151575	ENSGALG00000023562
ENSG00000119684	ENSGALG00000010304
ENSG00000120008	ENSGALG00000009486
ENSG00000163818	ENSGALG00000011810
ENSG00000144554	ENSGALG00000003720
ENSG00000197265	ENSGALG00000010283
ENSG00000169189	ENSGALG00000006307
ENSG00000213626	ENSGALG00000009052
ENSG00000204128	ENSGALG00000023879
ENSG00000125630	ENSGALG00000008607
ENSG00000133935	ENSGALG00000027282
ENSG00000143742	ENSGALG00000026009
ENSG00000166619	ENSGALG00000027126
ENSG00000158435	ENSGALG00000016777
ENSG00000136925	ENSGALG00000002110
ENSG00000106780	ENSGALG00000023838
ENSG00000154274	ENSGALG00000027885
ENSG00000202400	ENSGALG00000025237
ENSG00000159267	ENSGALG00000016047
ENSG00000124333	ENSGALG00000007476
ENSG00000152464	ENSGALG00000008794
ENSG00000167965	ENSGALG00000005878
ENSG00000154642	ENSGALG00000028290
ENSG00000164597	ENSGALG00000008035
ENSG00000100296	ENSGALG00000008082
ENSG00000100147	ENSGALG00000011918
ENSG00000122965	ENSGALG00000008289
ENSG00000167900	ENSGALG00000007191
ENSG00000136122	ENSGALG00000016931
ENSG00000167513	ENSGALG00000013784
ENSG00000189056	ENSGALG00000008193
ENSG00000173409	ENSGALG00000011155
ENSG00000125124	ENSGALG00000003043
ENSG00000157796	ENSGALG00000014064
ENSG00000162543	ENSGALG00000023708
ENSG00000197345	ENSGALG00000004362
ENSG00000104213	ENSGALG00000013617
ENSG00000166780	ENSGALG00000006456
ENSG00000255154	ENSGALG00000007035
ENSG00000137473	ENSGALG00000010009
ENSG00000188958	ENSGALG00000007222
ENSG00000149231	ENSGALG00000013489
ENSG00000164283	ENSGALG00000027707
ENSG00000136631	ENSGALG00000013899
ENSG00000114491	ENSGALG00000011770
ENSG00000080822	ENSGALG00000027337
ENSG00000072756	ENSGALG00000017368
ENSG00000158828	ENSGALG00000003109
ENSG00000169251	ENSGALG00000009533
ENSG00000116874	ENSGALG00000014772
ENSG00000151948	ENSGALG00000002679
ENSG00000129187	ENSGALG00000010674
ENSG00000164978	ENSGALG00000027295
ENSG00000125901	ENSGALG00000014118
ENSG00000089009	ENSGALG00000004818
ENSG00000188817	ENSGALG00000007288
ENSG00000182858	ENSGALG00000008539
ENSG00000147571	ENSGALG00000015521
ENSG00000159884	ENSGALG00000021897
ENSG00000088035	ENSGALG00000010991
ENSG00000119929	ENSGALG00000007424
ENSG00000168883	ENSGALG00000028361
ENSG00000197081	ENSGALG00000011621
ENSG00000167720	ENSGALG00000003155
ENSG00000231824	ENSGALG00000027053
ENSG00000169174	ENSGALG00000017381
ENSG00000108187	ENSGALG00000003935
ENSG00000117133	ENSGALG00000008796
ENSG00000176160	ENSGALG00000001031
ENSG00000127311	ENSGALG00000009885
ENSG00000188848	ENSGALG00000014242
ENSG00000205090	ENSGALG00000021666
ENSG00000095002	ENSGALG00000008962
ENSG00000110442	ENSGALG00000007903
ENSG00000175920	ENSGALG00000015615
ENSG00000019505	ENSGALG00000008055
ENSG00000176732	ENSGALG00000019866
ENSG00000156206	ENSGALG00000021183
ENSG00000154813	ENSGALG00000011237
ENSG00000168303	ENSGALG00000023024
ENSG00000105700	ENSGALG00000021619
ENSG00000138092	ENSGALG00000016609
ENSG00000136197	ENSGALG00000012333
ENSG00000117151	ENSGALG00000008780
ENSG00000118564	ENSGALG00000014510
ENSG00000163902	ENSGALG00000005907
ENSG00000166855	ENSGALG00000007289
ENSG00000105887	ENSGALG00000026497
ENSG00000136874	ENSGALG00000013462
ENSG00000143543	ENSGALG00000025894
ENSG00000143493	ENSGALG00000009843
ENSG00000207700	ENSGALG00000028396
ENSG00000059691	ENSGALG00000010097
ENSG00000182504	ENSGALG00000015342
ENSG00000171453	ENSGALG00000010349
ENSG00000095261	ENSGALG00000001637
ENSG00000010165	ENSGALG00000003206
ENSG00000173809	ENSGALG00000004704
ENSG00000070061	ENSGALG00000001947
ENSG00000113068	ENSGALG00000000946
ENSG00000144840	ENSGALG00000014949
ENSG00000198755	ENSGALG00000002644
ENSG00000115009	ENSGALG00000003003
ENSG00000164758	ENSGALG00000026340
ENSG00000149636	ENSGALG00000013423
ENSG00000130332	ENSGALG00000000408
ENSG00000144406	ENSGALG00000002828
ENSG00000137055	ENSGALG00000001782
ENSG00000119865	ENSGALG00000008757
ENSG00000109929	ENSGALG00000026871
ENSG00000088543	ENSGALG00000002240
ENSG00000109111	ENSGALG00000000146
ENSG00000170348	ENSGALG00000010318
ENSG00000105193	ENSGALG00000026490
ENSG00000104883	ENSGALG00000003561
ENSG00000123473	ENSGALG00000010478
ENSG00000177082	ENSGALG00000026280
ENSG00000183955	ENSGALG00000003325
ENSG00000169116	ENSGALG00000010268
ENSG00000124783	ENSGALG00000012798
ENSG00000205177	ENSGALG00000028923
ENSG00000163600	ENSGALG00000008656
ENSG00000143612	ENSGALG00000013547
ENSG00000163719	ENSGALG00000006601
ENSG00000198690	ENSGALG00000003897
ENSG00000197976	ENSGALG00000016686
ENSG00000171766	ENSGALG00000023435
ENSG00000091972	ENSGALG00000015396
ENSG00000165181	ENSGALG00000027341
ENSG00000131043	ENSGALG00000001034
ENSG00000182934	ENSGALG00000001053
ENSG00000221539	ENSGALG00000025389
ENSG00000144713	ENSGALG00000027142
ENSG00000136877	ENSGALG00000005051
ENSG00000147874	ENSGALG00000015091
ENSG00000151657	ENSGALG00000006769
ENSG00000165757	ENSGALG00000007346
ENSG00000167671	ENSGALG00000001146
ENSG00000156795	ENSGALG00000016372
ENSG00000132465	ENSGALG00000011551
ENSG00000089234	ENSGALG00000004650
ENSG00000166265	ENSGALG00000015774
ENSG00000126870	ENSGALG00000006558
ENSG00000082515	ENSGALG00000003919
ENSG00000070785	ENSGALG00000010140
ENSG00000124532	ENSGALG00000012667
ENSG00000233927	ENSGALG00000024398
ENSG00000165917	ENSGALG00000008100
ENSG00000001084	ENSGALG00000016313
ENSG00000124767	ENSGALG00000010127
ENSG00000151612	ENSGALG00000009982
ENSG00000133398	ENSGALG00000028336
ENSG00000023287	ENSGALG00000015259
ENSG00000099817	ENSGALG00000002591
ENSG00000183077	ENSGALG00000000109
ENSG00000133393	ENSGALG00000006532
ENSG00000251922	ENSGALG00000025517
ENSG00000197121	ENSGALG00000007966
ENSG00000125450	ENSGALG00000007974
ENSG00000185480	ENSGALG00000012756
ENSG00000157181	ENSGALG00000005080
ENSG00000160256	ENSGALG00000007513
ENSG00000169660	ENSGALG00000001612
ENSG00000168216	ENSGALG00000016174
ENSG00000168538	ENSGALG00000010654
ENSG00000146243	ENSGALG00000015892
ENSG00000196235	ENSGALG00000014301
ENSG00000101158	ENSGALG00000007477
ENSG00000138231	ENSGALG00000001190
ENSG00000112167	ENSGALG00000028573
ENSG00000152766	ENSGALG00000028250
ENSG00000148303	ENSGALG00000003197
ENSG00000143324	ENSGALG00000003893
ENSG00000121207	ENSGALG00000009276
ENSG00000010072	ENSGALG00000011065
ENSG00000128951	ENSGALG00000004954
ENSG00000164182	ENSGALG00000027564
ENSG00000145075	ENSGALG00000021855
ENSG00000134326	ENSGALG00000028982
ENSG00000131876	ENSGALG00000007170
ENSG00000151131	ENSGALG00000012694
ENSG00000112367	ENSGALG00000015070
ENSG00000196821	ENSGALG00000002778
ENSG00000184530	ENSGALG00000014823
ENSG00000176915	ENSGALG00000002143
ENSG00000112293	ENSGALG00000012666
ENSG00000119013	ENSGALG00000008239
ENSG00000135775	ENSGALG00000011114
ENSG00000171723	ENSGALG00000009587
ENSG00000207548	ENSGALG00000018316
ENSG00000102172	ENSGALG00000016379
ENSG00000131732	ENSGALG00000015603
ENSG00000160058	ENSGALG00000003405
ENSG00000172426	ENSGALG00000010299
ENSG00000166226	ENSGALG00000009975
ENSG00000125812	ENSGALG00000008350
ENSG00000126215	ENSGALG00000011533
ENSG00000103423	ENSGALG00000007821
ENSG00000159423	ENSGALG00000003804
ENSG00000042317	ENSGALG00000010607
ENSG00000142621	ENSGALG00000017714
ENSG00000102978	ENSGALG00000001168
ENSG00000127220	ENSGALG00000028826
ENSG00000086065	ENSGALG00000013160
ENSG00000168404	ENSGALG00000002766
ENSG00000145824	ENSGALG00000006346
ENSG00000006007	ENSGALG00000006916
ENSG00000156787	ENSGALG00000016383
ENSG00000111412	ENSGALG00000008219
ENSG00000163655	ENSGALG00000010284
ENSG00000188342	ENSGALG00000016974
ENSG00000171867	ENSGALG00000000209
ENSG00000196305	ENSGALG00000004813
ENSG00000232112	ENSGALG00000006463
ENSG00000178409	ENSGALG00000015314
ENSG00000138085	ENSGALG00000029092
ENSG00000169019	ENSGALG00000026279
ENSG00000186188	ENSGALG00000026733
ENSG00000134882	ENSGALG00000016880
ENSG00000020426	ENSGALG00000011910
ENSG00000178028	ENSGALG00000010104
ENSG00000089157	ENSGALG00000023294
ENSG00000119242	ENSGALG00000003146
ENSG00000110696	ENSGALG00000006077
ENSG00000214376	ENSGALG00000017217
ENSG00000173040	ENSGALG00000015029
ENSG00000214114	ENSGALG00000024295
ENSG00000137814	ENSGALG00000009111
ENSG00000167962	ENSGALG00000005598
ENSG00000214530	ENSGALG00000002577
ENSG00000183208	ENSGALG00000023246
ENSG00000160838	ENSGALG00000027351
ENSG00000172586	ENSGALG00000028809
ENSG00000172482	ENSGALG00000020943
ENSG00000242372	ENSGALG00000001811
ENSG00000133597	ENSGALG00000012863
ENSG00000061794	ENSGALG00000028453
ENSG00000163001	ENSGALG00000008064
ENSG00000163795	ENSGALG00000016516
ENSG00000135931	ENSGALG00000007691
ENSG00000075336	ENSGALG00000013709
ENSG00000128563	ENSGALG00000001833
ENSG00000117222	ENSGALG00000000668
ENSG00000179409	ENSGALG00000004817
ENSG00000162946	ENSGALG00000027999
ENSG00000106105	ENSGALG00000005694
ENSG00000207726	ENSGALG00000021728
ENSG00000164118	ENSGALG00000020201
ENSG00000198168	ENSGALG00000003648
ENSG00000168994	ENSGALG00000012814
ENSG00000198931	ENSGALG00000027272
ENSG00000108590	ENSGALG00000006005
ENSG00000135828	ENSGALG00000003664
ENSG00000197780	ENSGALG00000015185
ENSG00000181355	ENSGALG00000022976
ENSG00000131778	ENSGALG00000015038
ENSG00000003056	ENSGALG00000014256
ENSG00000173376	ENSGALG00000011962
ENSG00000186665	ENSGALG00000003590
ENSG00000138303	ENSGALG00000026019
ENSG00000104613	ENSGALG00000010130
ENSG00000198730	ENSGALG00000005618
ENSG00000213995	ENSGALG00000016845
ENSG00000184508	ENSGALG00000027446
ENSG00000100084	ENSGALG00000001576
ENSG00000171853	ENSGALG00000016387
ENSG00000164346	ENSGALG00000014942
ENSG00000170917	ENSGALG00000011834
ENSG00000162493	ENSGALG00000026854
ENSG00000244187	ENSGALG00000009054
ENSG00000011638	ENSGALG00000027173
ENSG00000163156	ENSGALG00000026818
ENSG00000108465	ENSGALG00000025787
ENSG00000215021	ENSGALG00000014567
ENSG00000182831	ENSGALG00000007291
ENSG00000189320	ENSGALG00000028459
ENSG00000163689	ENSGALG00000007168
ENSG00000185721	ENSGALG00000006921
ENSG00000149474	ENSGALG00000008707
ENSG00000101654	ENSGALG00000013889
ENSG00000135821	ENSGALG00000003678
ENSG00000160679	ENSGALG00000026102
ENSG00000104497	ENSGALG00000015794
ENSG00000135108	ENSGALG00000008201
ENSG00000116786	ENSGALG00000003439
ENSG00000123415	ENSGALG00000026198
ENSG00000173611	ENSGALG00000001037
ENSG00000109133	ENSGALG00000014248
ENSG00000101190	ENSGALG00000005635
ENSG00000186073	ENSGALG00000009801
ENSG00000116685	ENSGALG00000004533
ENSG00000172478	ENSGALG00000006044
ENSG00000253079	ENSGALG00000025631
ENSG00000151503	ENSGALG00000001491
