GeneID	Brain_Female	Brain_Male	Cerebellum_Female	Cerebellum_Male	Heart_Female	Heart_Male	Kidney_Female	Kidney_Male	Liver_Male	Testis_Male
ENSGALG00000004594	0.00231282	6.558127	1.476567	18.05728	0.00231282	1.835028	0.03637169	0.00231282	0.00231282	0.07390451
ENSGALG00000003720	6.214868	22.59201	73.18685	9.244888	1.133659	1.129769	0.2096611	6.051823	0.00231282	173.8048
ENSGALG00000006318	0.00231282	0.6681004	0.0625444	13.87132	28.77578	0.3205728	8.541929	2.753196	0.00231282	0.00231282
ENSGALG00000005192	11.17728	13.37428	109.8699	29.58834	9.415648	0.7006433	3.359044	0.00231282	8.94745	17.24678
ENSGALG00000002616	38.35723	40.3926	1.277935	0.00231282	1.083306	0.00231282	3.927474	39.9325	20.05403	38.82485
ENSGALG00000015617	22.57491	8.99645	1.242382	6.682461	0.00231282	3.886332	20.4147	0.00231282	0.100553	1.043453
ENSGALG00000002908	2.142042	251.6434	15.93805	0.00231282	3.17298	0.5539775	2.025287	1.764715	1.042803	2.41879
ENSGALG00000016187	9.092766	34.06653	0.00231282	0.1851362	3.223893	0.2102448	19.37315	0.04324933	2.105938	0.2993251
ENSGALG00000003625	0.2884291	0.4664771	1.693837	15.54151	2.336045	4.520897	0.8468089	0.00231282	4.350738	0.2828801
ENSGALG00000012111	6.571909	1.174285	168.3413	19.34147	863.1676	7.519145	0.00231282	4.428839	0.3294316	0.3325632
ENSGALG00000006694	0.2415702	1.056209	30.76246	0.2999855	7.317661	0.00231282	3.515191	2.949564	17.13391	0.00231282
ENSGALG00000017004	37.25882	238.1413	10.26928	0.1063835	0.00231282	44.76358	0.00231282	1.983915	14.59048	0.00231282
ENSGALG00000002981	0.6859188	0.2953174	1.615202	43.96836	16.45694	0.09037817	0.00231282	4.980466	0.2200661	0.00231282
ENSGALG00000003540	1.397608	0.618448	7.567959	4.262766	1.344425	23.48245	0.00231282	1.865096	8.913918	0.1613664
ENSGALG00000016254	15.76055	0.00231282	3.868323	7.215316	308.9857	2.985332	7.624506	13.7174	29.25483	5.835317
ENSGALG00000014226	0.6555867	0.1992398	29.19356	0.2534093	0.00231282	8.404966	13.13646	0.00231282	8.593122	0.00231282
ENSGALG00000012222	0.1026891	0.5080056	16.04503	0.07797501	0.00231282	14.06881	0.5064909	0.7205018	4.104598	0.2824357
ENSGALG00000020488	0.3682598	3.219401	0.1735733	0.0592446	2.277967	0.00231282	0.39842	0.059049	10.93064	0.00231282
ENSGALG00000004165	13.59852	0.00231282	1.613267	0.00231282	0.00231282	0.8829176	6.802066	14.52922	1.26266	24.14237
ENSGALG00000010827	6.130169	8.28912	5.889616	4077.84	0.00231282	8.70932	0.00231282	0.00231282	19.90476	15.07119
ENSGALG00000006617	157.8881	0.1107952	13.59349	0.00231282	33.87893	5692.651	0.00231282	2.603742	44.56671	127.1392
ENSGALG00000011093	0.1217344	19.78736	0.00231282	7.814039	0.223849	0.00231282	164.7689	0.00231282	86.428	2.023935
ENSGALG00000012012	2.500743	8.683158	14.45714	9.220477	3.784624	0.00231282	5.041788	21.99448	2.4621	8.581004
ENSGALG00000014841	16.55665	0.166167	7.181554	0.2684005	0.00231282	0.5299858	15.18454	1.830114	135.1191	0.00231282
ENSGALG00000009932	0.00231282	0.4174274	2.723892	0.3728765	0.00231282	126.4706	30.17334	0.00231282	0.8271838	1.165246
ENSGALG00000011574	0.2442655	0.00231282	5.233961	2.387602	0.00231282	7.321711	4.99751	3.252615	0.07362189	0.03551854
ENSGALG00000018565	7.396661	7.490093	0.00231282	1.720276	6.080022	2.713257	5.065467	6.347349	1.426801	11.81185
ENSGALG00000011990	14.75047	3.009098	45.05679	30.90836	0.00231282	0.1714197	0.09374764	8.388287	7.134263	107.4045
ENSGALG00000004554	0.00231282	5.804001	2.712146	8.429701	71.42551	348.1841	0.00231282	0.00231282	2.073528	3.878405
ENSGALG00000005770	1.303989	0.00231282	8.259572	8.230063	5.725586	15.32121	5.299431	7.888452	2.515513	0.00231282
ENSGALG00000016631	20.79137	0.5351358	0.00231282	0.00231282	0.00231282	1045.736	0.00231282	8.217772	29.55816	13.72507
ENSGALG00000013200	0.5001186	13.2997	1.095451	20.54092	0.2500693	0.6293575	0.09940932	577.9817	0.3790653	10.03471
ENSGALG00000002863	9.790973	0.885199	0.00231282	4.324511	4.575062	32.99478	7.782766	0.4764688	6.453928	4.048262
ENSGALG00000007940	19.2475	1.221195	0.00231282	9.055089	1.332188	6.199329	0.06236851	0.00231282	8.494066	0.266097
ENSGALG00000005791	8.938774	0.7280575	0.7141608	0.07435714	0.04558134	3.048241	0.1182381	6.766654	9.566049	11.77141
ENSGALG00000002797	14.24537	12.21348	0.00231282	14.94355	32.35876	0.1876872	0.3373518	14.77106	4.100853	5.442715
ENSGALG00000000766	0.00231282	0.8061262	0.1054359	82.17998	55.58436	0.4727531	4.448802	6.786412	0.1039435	0.00231282
ENSGALG00000016931	0.2749183	0.1787221	12.26026	0.8981392	38.33254	0.00231282	10.10918	9.121198	0.1819223	0.00231282
ENSGALG00000011650	0.7216943	1.297466	1.226617	2.143717	11.93737	0.00231282	8.715291	10.65909	0.00231282	12.29385
ENSGALG00000016919	0.00231282	0.533965	25.07283	0.2565063	2.465793	5.235362	0.03827457	4.788471	3.254915	36.13263
ENSGALG00000015925	51.98991	0.00231282	24.16569	0.6496436	0.1294117	25.19745	0.3060303	0.00231282	36.15968	0.2302243
ENSGALG00000011335	0.00231282	0.00231282	4.02131	8.446167	3.747822	2.125693	0.00231282	5.770584	0.00231282	10.46483
ENSGALG00000006723	0.1856069	29.53987	0.1630845	0.00231282	8.357291	1.096559	126.1927	0.00231282	0.00231282	8.451803
ENSGALG00000010748	1663.064	112.7386	0.00231282	0.00231282	0.4598475	0.00231282	0.00231282	9.375503	16.02167	0.04107746
ENSGALG00000017691	0.2066335	2.633617	0.00231282	3.386971	3.963065	21.26782	9.396899	3.453894	0.1096126	0.00231282
ENSGALG00000003935	0.00231282	20.52405	0.00231282	0.5037394	0.00231282	15.9808	13.5651	9.600266	3.097391	1.428003
ENSGALG00000014682	37.98123	1.239105	0.00231282	0.3382792	14.14616	4.683916	2.482232	4.948988	1.294456	0.00231282
ENSGALG00000005150	0.09938069	0.7459474	0.5960644	24.12479	0.00231282	0.00231282	25.41159	0.00231282	0.00231282	0.04062964
ENSGALG00000018700	23.84276	1.903873	12.50254	0.00231282	49.664	20.46157	4.054587	0.1451816	1.231723	15.40973
ENSGALG00000008354	1.505177	4.186055	14.06317	35.69763	29.14358	13.75306	8.176412	15.50528	0.00231282	0.00231282
ENSGALG00000007821	5.685592	2.577291	3.518276	0.00231282	2.518693	1.652264	3.134623	7.076889	4.549679	2.694168
ENSGALG00000023308	288.8844	0.2088093	12.03014	0.00231282	1.014356	2.001738	0.3719318	0.4258361	1.600807	6.244437
ENSGALG00000016238	0.04352154	26.73733	3.815045	0.07606445	0.1612169	0.9266537	0.00231282	8.28029	19.6625	3.875913
ENSGALG00000010768	0.752196	1.158154	0.1446818	1.155609	3.229923	5.925372	99.75309	4.320191	0.00231282	9.302403
ENSGALG00000012909	22.81482	6.449571	2.144827	33.10833	0.1391051	16.52011	0.00231282	11.24572	0.00231282	51.29573
ENSGALG00000007334	0.00231282	0.00231282	30.74269	1.567801	0.1358396	7.786724	0.00231282	6.291589	0.6676875	0.00231282
ENSGALG00000004783	4.496223	0.00231282	8.340347	0.00231282	3.445127	0.8679065	0.00231282	28.86896	5.455967	1.827133
ENSGALG00000004687	0.9138626	11.98484	1.037217	0.04952915	0.00231282	0.07987524	0.00231282	13.27608	20.81859	0.8152659
ENSGALG00000015810	6.082046	0.00231282	4.934002	0.2770697	0.00231282	3.462495	406.5175	0.881108	4.79496	8.365152
ENSGALG00000007365	1.310505	2.61818	17.01975	12.96595	1.37436	76.66223	0.472429	0.6540975	1.272281	0.1056964
ENSGALG00000016099	0.00231282	3.565929	2.209755	5.958668	3.913009	45.76542	0.1126962	304.9616	0.00231282	2.919835
ENSGALG00000006428	1.650333	111.6459	5.643459	0.08251769	0.03891708	35.40758	2.105015	5.569101	0.4364671	43.18544
ENSGALG00000009885	0.00231282	1.697583	3.306817	0.5356869	8.420967	3.118342	1.301342	0.00231282	0.1199285	0.2211027
ENSGALG00000014083	1.88819	4.266114	31.79418	0.2626567	2.25568	2039.999	3.298139	7.323672	7.598204	0.4332196
ENSGALG00000005269	0.3889149	0.00231282	58.24715	0.7587955	9.39169	9.198666	0.5286946	83.35114	3.498649	2.636992
ENSGALG00000024101	1.721908	0.04194641	176.6556	2.83685	1.682025	3.928543	3.289956	1.416688	8.088478	0.4084165
ENSGALG00000011660	0.1729577	7.034328	0.7174948	0.04766937	0.00231282	21.40672	2.934533	3.041836	0.00231282	1.608853
ENSGALG00000009384	6.811067	7.678856	0.00231282	13.45841	0.8888016	6.630556	1.753238	8.204721	0.148485	0.00231282
ENSGALG00000004197	4.803249	1.692776	8.080598	0.00231282	2.694663	0.00231282	0.3487907	0.5644736	5.000244	6.385959
ENSGALG00000002639	7.232753	0.02980989	6.721741	80.7725	4.664452	3.969039	1.936106	2.405433	0.8297892	11.62658
ENSGALG00000013872	0.00231282	31.34362	27.99806	0.07061571	19.04547	24.81589	5.110131	10.12139	27.53095	0.120898
ENSGALG00000017053	0.00231282	0.00231282	8.927895	193.6154	0.00231282	4.736443	0.6237184	8.628382	7.610519	103.2099
ENSGALG00000008735	13.11615	0.2716256	86.6255	0.2121715	0.1495648	0.1806826	0.1429182	5.49667	0.00231282	948.4658
ENSGALG00000013452	2.948577	0.00231282	21.87652	16.54337	7.401187	2.274659	63.59018	11.50381	11.6007	87.98224
ENSGALG00000010998	50.80956	13.58912	0.00231282	3.790424	7.087452	18.67433	432.7434	18.80312	14.5396	0.00231282
ENSGALG00000016355	0.7179818	9.524866	3.764591	0.2002275	29.13027	0.04705537	0.5054918	4.225765	3.497398	4.200594
ENSGALG00000001640	18.6117	0.00231282	7.448404	12.1282	26.967	63.18277	0.00231282	5.480455	1.939601	5.400066
ENSGALG00000004623	0.6947987	2.913884	5.030377	3.013987	59.07108	0.00231282	6.292929	15.15651	10.62606	24.54487
ENSGALG00000016354	0.00231282	2.018368	0.00231282	1.715437	7.171236	0.8133055	4.580772	0.4171429	5.292907	0.4446524
ENSGALG00000022976	0.9169879	0.1843229	4.900908	0.00231282	0.00231282	0.9889197	26235.93	1.232128	0.00231282	1.184184
ENSGALG00000011079	4.369066	0.2744092	4.846012	16.58769	5.281565	0.00231282	0.0684745	6.130718	0.324628	0.00231282
ENSGALG00000016740	123.3153	0.00231282	617.9326	0.00231282	1.787309	46.29815	1.324658	10.88865	10.48918	5.380217
ENSGALG00000016052	0.0745404	30.43526	7.365264	0.00231282	0.4288847	81.93224	48.86324	115.1411	2.613618	4.752685
ENSGALG00000012792	59.6796	6.579569	25.08848	5.84607	4.722122	32.18311	9.127846	1.068823	0.8487275	126.7569
ENSGALG00000016574	51.20561	5.943082	2.460328	0.00231282	0.00231282	8.433844	28.88601	6.423283	0.07971541	3.516518
ENSGALG00000007027	14.16549	0.00231282	16.21839	0.00231282	17.48292	9.500108	0.1743578	9.666386	1.176312	84.03649
ENSGALG00000004018	39.22637	0.284943	0.2215104	8.523157	0.1798976	5.986317	4.272307	5.4335	16.9511	0.00231282
ENSGALG00000006486	0.6820788	1.792619	0.00231282	0.02926277	0.4842326	7.906255	0.1365236	2.614581	0.00231282	0.00231282
ENSGALG00000001615	171.0656	2.667636	12.24055	3.939532	0.1258687	0.1720732	89.49739	17.74309	7.377447	1480.719
ENSGALG00000001841	3.026488	6.985925	7.097738	2.686393	0.7627032	2.517761	21.51281	8.297548	17.5818	0.00231282
ENSGALG00000008055	1.053423	8.658417	0.1441367	3.367052	17.0886	0.00231282	0.00231282	0.127848	5.360174	55.13108
ENSGALG00000015783	2.904896	6.488252	5.975439	70.16538	0.3254309	0.00231282	7.505949	0.00231282	10.14255	0.00231282
ENSGALG00000006936	7.2136	6.483245	629.6072	0.00231282	11.51885	0.1989261	19.61732	5.713407	1.495494	0.3900944
ENSGALG00000000904	0.03416708	2.399688	13.90376	4.80765	7.807405	13.01944	2.423404	0.00231282	0.00231282	2.341782
ENSGALG00000007737	9.181934	0.00231282	0.6943806	17.40634	0.00231282	1.886121	4.217092	0.00231282	3.139314	3.10998
ENSGALG00000021655	13.85974	5.262017	0.00231282	1.140027	0.1836934	0.3534003	1.278804	0.405419	14.44668	4.172708
ENSGALG00000003558	0.4592679	0.00231282	0.00231282	0.4691483	0.8798473	3.381848	0.9487575	1.920215	2.043573	0.00231282
ENSGALG00000001065	1.438907	4.092636	10.73051	1.230436	0.2877218	1.984919	2.319066	5.248983	9.288227	0.00231282
ENSGALG00000002735	10.76855	67.23047	6.045167	4.179353	0.2506995	45.2044	0.00231282	0.37494	18.71647	0.00231282
ENSGALG00000016501	12.70374	0.00231282	9.850025	0.00231282	2.120938	0.00231282	0.00231282	5.198475	5.794383	0.00231282
ENSGALG00000005660	6.151206	2.841785	0.00231282	0.198033	18.09511	0.00231282	0.04133825	9.992	0.09811238	0.00231282
ENSGALG00000001607	0.6788378	0.2209553	7.424692	5.338628	0.00231282	2.772395	4.957951	7.88117	5.508952	8.037396
ENSGALG00000000546	56.81555	13.40627	0.00231282	5.120182	5.727794	9.994555	0.6521613	0.00231282	0.04649619	0.1551866
ENSGALG00000016392	0.6501321	4.127839	0.06638324	14.54887	10.39006	1107.279	0.1716793	2.27308	2.7935	235.0649
ENSGALG00000009148	1.785276	0.4516197	16.9459	0.5240658	4.555259	0.04426055	26.29844	5.19672	9.194178	0.517953
ENSGALG00000002755	0.9232606	2.768057	14.10666	0.326748	5.052366	2.487095	7.95345	0.00231282	0.1862984	1.077158
ENSGALG00000004750	2.440057	114.0314	2.182583	16.60527	0.4489943	10.54908	3.290922	0.03393371	3.156485	8.740289
ENSGALG00000012150	4.336366	0.1098602	33.93319	8.371172	35.85191	2.585678	1.503721	10.39249	0.00231282	0.2572099
ENSGALG00000008265	4.662879	0.2110388	0.6672865	11.421	17.15995	0.00231282	160.0446	6.525056	0.6123387	0.369521
ENSGALG00000001624	0.00231282	1.896966	8.957478	4.345296	5.436223	0.8001683	14.7894	0.09509097	14.9141	14.92717
ENSGALG00000001636	3.411569	17.45548	37.50078	8.803432	1.105808	46.82519	39.47131	50.70767	1.086184	13.8521
ENSGALG00000018370	1.034646	0.4525778	0.05041451	14.28637	3.22631	0.00231282	4.006539	0.8144018	0.3765662	2.171682
ENSGALG00000011725	10.90912	0.8037632	14.83269	0.2419002	0.00231282	14.3298	1.219815	0.4645553	0.9443955	19.12196
ENSGALG00000008787	19.8883	0.06078183	8.248833	6.249538	0.00231282	1.104207	0.2700068	0.2681366	2.077952	3.906726
ENSGALG00000019229	7.250045	5.65415	0.2582853	0.5342581	6.575008	0.03146302	0.00231282	1.511069	3.113301	46.99973
ENSGALG00000006753	1.410753	3.859102	92.92285	0.00231282	7.584175	1.511665	0.8046324	0.03359465	0.1708281	13.67859
ENSGALG00000004186	0.1803568	11.31718	0.1197055	34.74522	17.08417	11.82661	3.018146	1.866639	154.3647	0.2290325
ENSGALG00000013759	0.4227831	17.04564	0.00231282	0.6245389	0.00231282	2.156078	0.5613159	3.317977	0.0525543	1.168844
ENSGALG00000003024	2.442242	79.30556	0.00231282	25.02699	98.62272	5.626866	272.2916	1.30984	0.00231282	63.28359
ENSGALG00000013287	2.576427	37.59921	0.00231282	25.98842	5.703404	40.58322	7.717682	0.03934491	0.2915529	12.38485
ENSGALG00000011329	0.00231282	42.68084	5.404351	1.664162	1.989488	3.708965	0.2093633	28.79644	1.791501	10.07511
ENSGALG00000007181	3.320816	6.095567	1.33984	2.445155	19.50265	50.10594	3.539071	2.343172	16.80381	0.7381435
ENSGALG00000016196	0.00231282	36.27969	3.026488	6.446402	1.210581	0.00231282	0.04398311	0.00231282	53.65285	0.31095
ENSGALG00000024378	1.008356	30.67903	0.05380034	66.6149	0.00231282	5.793216	76.45921	0.00231282	0.901948	0.06190302
ENSGALG00000010621	5.483243	15.72992	0.373381	7.858446	0.00231282	1.965902	65.8752	0.05944219	17.17945	0.226684
ENSGALG00000012836	8.746091	362.8523	6.849321	15.23289	0.2602151	0.1766383	7.85395	7.719154	45.55816	2.884262
ENSGALG00000011202	0.00231282	13.63964	8.915381	5.916283	8.863317	3.18981	53.06018	0.0716674	97.07941	0.00231282
ENSGALG00000006225	0.664004	0.00231282	0.3918312	13.71931	48.07794	0.03353625	3.908922	2.393387	0.00231282	2.579721
ENSGALG00000004533	0.00231282	1.836598	0.00231282	0.00231282	25.4804	0.00231282	0.1542319	0.03087946	1.280754	56.68152
ENSGALG00000006601	4.101589	4.130798	204.8026	0.1004101	27.05623	7.543879	26.49359	7.741639	1.740806	4.446281
ENSGALG00000008240	14.04585	0.00231282	0.4798074	11.89428	4.209306	1.605556	26.90365	0.1885521	0.00231282	0.03740961
ENSGALG00000012097	0.5273271	0.00231282	0.00231282	1.961166	11.53132	0.00231282	3.761167	6.320088	17.75614	2.019063
ENSGALG00000008794	3.2228	0.00231282	1.71477	0.00231282	2.116489	13.6258	44.0243	6.154165	7.998984	1.761227
ENSGALG00000014542	8.411826	0.3078555	0.00231282	0.00231282	1.098898	4.189167	6.713958	0.00231282	21.38971	0.643773
ENSGALG00000001801	0.616572	0.3306173	1.115372	3.535226	6.087343	0.00231282	6.729771	39.99546	2.39639	0.00231282
ENSGALG00000011643	0.00231282	0.8042224	3.276942	4.476142	0.7685542	11.74691	0.2170307	30.42706	1.500114	4.850249
ENSGALG00000011423	3.646568	0.06999193	0.00231282	2.896627	5.013954	0.133918	0.00231282	0.00231282	12.74499	0.00231282
ENSGALG00000010355	0.00231282	1.101458	0.0559595	5.775383	0.11334	0.4574461	1.737569	0.07850153	14.18901	9.809698
ENSGALG00000003373	0.1167211	69.66503	0.1963831	1.159612	36.93566	6.672184	0.3272721	9.297415	2.727604	0.00231282
ENSGALG00000015804	0.1738314	12.28974	2.766971	0.00231282	2.079751	0.00231282	0.6695312	2.265312	0.00231282	0.952909
ENSGALG00000007478	0.00231282	0.00231282	1.029058	10.55817	8.132208	1.622725	0.00231282	7.070566	0.2062013	52.80401
ENSGALG00000019738	4.343051	0.00231282	0.00231282	17.93151	7.932572	4.183959	3.489927	5.320244	0.364813	1.331313
ENSGALG00000000618	2.898054	74.29158	0.8452852	0.7469508	0.3142614	0.00231282	18.96939	2.386199	39.06508	40.54557
ENSGALG00000025204	0.4344897	17.49694	0.3302422	26.52208	18.3619	64.59499	3.971202	12.93179	3.469035	6.751145
ENSGALG00000003072	0.2483894	0.00231282	5.578632	9.638166	0.00231282	0.00231282	5.041149	0.00231282	9.402796	1.438355
ENSGALG00000009748	8.623657	6.996415	6.208512	28.81379	14.5068	0.435986	0.00231282	10.61037	1.998335	4.72936
ENSGALG00000006141	0.00231282	0.03969097	0.00231282	0.4939815	0.00231282	0.9652187	0.00231282	7.000846	1.991733	7.467581
ENSGALG00000015276	7.241141	21.13331	5.372167	2.156997	15.01683	2.110187	0.1087214	25.24986	0.1155189	21.47224
ENSGALG00000000976	0.585936	22.01032	14.89184	3.166942	31.4863	0.276746	0.00231282	1.184864	0.00231282	0.6395698
ENSGALG00000003684	0.00231282	23.23882	13.35878	7.731432	1.990688	1.930636	3.137613	14.25557	0.4449997	29.06312
ENSGALG00000002745	2.820748	0.00231282	0.2889509	12.48351	14.36376	0.2090681	15.04181	2.397177	0.00231282	0.1433296
ENSGALG00000005503	30.81344	10.21956	2.010828	1.5349	0.00231282	0.2464763	15.46192	13.18748	6.115276	3.950483
ENSGALG00000005558	9.29525	17.07121	12.83996	0.00231282	14.07177	11.60637	8.001159	5.837028	2.036168	3.502581
ENSGALG00000008285	9.683475	0.2538732	2.140922	1.242938	0.00231282	0.00231282	2.955125	0.3657432	7.244179	1.406584
ENSGALG00000003197	0.00231282	3.451668	0.00231282	4.879481	24.24087	0.00231282	3.546309	10.89265	2.345107	0.1541159
ENSGALG00000002342	8.57859	21.02578	125.3645	11.06958	0.092584	18.35037	84.20182	7.168665	9.51236	3.088783
ENSGALG00000003210	0.04055154	0.07372836	0.5893937	16.74935	1.638812	0.341523	0.1880612	7.751599	5.104328	6.410412
ENSGALG00000003064	2.671356	60.96727	0.5704123	12.05122	0.00231282	3.556481	2.287994	0.3725319	6.383229	0.00231282
ENSGALG00000012756	10.53422	0.04401596	191.41	0.00231282	6.120388	5.638613	2.856077	1003.762	5.906356	11.4511
ENSGALG00000011530	84.93792	0.03075115	1.39661	0.7057626	1.691978	0.00231282	0.2786769	0.00231282	22.69803	5.820807
ENSGALG00000009817	13.53778	5.937625	0.06045246	0.3834526	1.772601	8.596855	21.48747	16.07573	0.00231282	0.1579867
ENSGALG00000016207	0.00231282	3.89567	20.43084	1.653898	0.00231282	0.00231282	17.29599	0.00231282	2.729105	13.9495
ENSGALG00000009442	0.00231282	23.00408	1.778832	0.00231282	0.2323589	3.395606	0.1388151	1.302205	0.00231282	0.9991067
ENSGALG00000007430	0.3469875	0.07723689	16.61331	10.51743	0.6509994	21.7756	6.286753	102.3425	14.65269	4.969441
ENSGALG00000021183	0.6707942	3.603197	1.175747	0.1838086	44.06521	0.00231282	6.378441	0.2235858	54.11777	1.78227
ENSGALG00000009503	3.049327	1.769575	0.00231282	38.6658	7.633497	6.005394	3.867507	0.00231282	1.02065	1.745839
ENSGALG00000017211	0.3190836	6.477785	3.080217	0.6108867	33.79797	0.00231282	6.50283	0.1036224	0.04832251	1.291252
ENSGALG00000012317	6.220904	0.03419153	14.93123	0.3384795	27.65215	24.6132	7.579688	0.2658243	0.6877521	18.49059
ENSGALG00000000332	18.3251	3.613634	0.3219631	0.2921857	0.04491865	2.176266	17.98122	0.1642714	0.00231282	0.359003
ENSGALG00000018245	7.734964	1.819634	21.53381	3.050265	3.656618	0.00231282	4.630304	7.042088	0.00231282	10.11212
ENSGALG00000005782	0.1625159	3.442909	0.00231282	6.368539	0.00231282	0.2908258	20.56663	6.468966	1.311777	0.510581
ENSGALG00000007966	13.96413	28.4996	0.412697	0.4090303	8.573123	6.42549	4.389305	1.211719	0.00231282	0.00231282
ENSGALG00000001963	4.529308	2.361662	0.2241794	0.1926063	7.542501	8.795827	0.1526198	1.200621	2.771295	0.00231282
ENSGALG00000008163	11.00256	60.64743	8.01675	0.00231282	3.216328	68.77508	5.858173	0.350226	0.4569821	7.957352
ENSGALG00000013597	5.249993	5.617592	9.939211	0.00231282	12.76344	12.42514	7.474967	1.638394	0.642725	0.00231282
ENSGALG00000023135	1.041289	0.1041295	1.570354	11.16507	12.43047	15.69412	1.390882	0.00231282	0.00231282	0.00231282
ENSGALG00000004671	0.02976395	7.950025	9.536524	0.04196424	41.20449	11.16099	5.172478	4.797562	7.798169	0.1872524
ENSGALG00000001881	6.624502	1.22908	12.06276	8.458908	0.08331318	10.67207	0.3070514	12.96221	0.00231282	19.77243
ENSGALG00000014080	338.9332	0.9205037	0.1987261	0.4211289	19.2297	1.821231	71.51016	3.705944	0.02969305	4.58522
ENSGALG00000006475	1.387501	4.044566	17.7187	0.00231282	2.185405	3.292927	9.73178	0.00231282	0.00231282	0.9596898
ENSGALG00000012631	5.409415	0.3406111	0.00231282	3.231969	0.1007783	0.3116495	10.01591	11.67591	0.8371225	18.04263
ENSGALG00000009214	9.988807	17.88749	0.9807132	0.1282954	2.068289	0.9912263	29.96824	23.79993	0.00231282	0.3988478
ENSGALG00000003082	88.44118	1.979578	29.76776	9.558198	0.00231282	2.148226	0.4278639	98.03771	6.264438	9.607829
ENSGALG00000010007	25.17659	0.09677962	12.72898	0.00231282	18.02918	0.07071766	0.3054246	9.904853	0.48846	13.58111
ENSGALG00000002587	0.00231282	0.06420024	0.00231282	1.08917	4.941779	4.17815	277.016	0.04253529	1.726202	8.067607
